Year,Age_Group,County,Number of Visits,Age-adjusted rate,NO2 AQI_mean,NO2 AQI_max,NO2 AQI_min,O3 AQI_mean,O3 AQI_max,O3 AQI_min,SO2 AQI_mean,SO2 AQI_max,SO2 AQI_min,CO AQI_mean,CO AQI_max,CO AQI_min,county
2009,0,ALAMEDA,146.2173913043478,57.952969411521735,21.945205479452056,47.0,4.0,20.964383561643835,46.0,2.0,3.4438356164383563,23.0,0.0,5.671232876712328,23.0,1.0,ALAMEDA
2009,1,ALAMEDA,88.34782608695652,102.25160147782609,21.945205479452056,47.0,4.0,20.964383561643835,46.0,2.0,3.4438356164383563,23.0,0.0,5.671232876712328,23.0,1.0,ALAMEDA
2009,0,CONTRA COSTA,129.27777777777777,56.07468218194444,14.679908675799087,35.0,3.5,32.240639269406394,139.5,7.5,2.8853881278538815,11.5,0.0,3.919178082191781,9.333333333333334,1.5,CONTRA COSTA
2009,1,CONTRA COSTA,69.19444444444444,70.746073825,14.679908675799087,35.0,3.5,32.240639269406394,139.5,7.5,2.8853881278538815,11.5,0.0,3.919178082191781,9.333333333333334,1.5,CONTRA COSTA
2009,0,FRESNO,79.39024390243902,47.22137472658537,26.53972602739726,66.0,7.0,52.28219178082192,172.0,5.0,3.4246575342465753,19.0,0.0,6.550684931506849,24.0,1.0,FRESNO
2009,1,FRESNO,84.46341463414635,107.62214520512194,26.53972602739726,66.0,7.0,52.28219178082192,172.0,5.0,3.4246575342465753,19.0,0.0,6.550684931506849,24.0,1.0,FRESNO
2009,0,HUMBOLDT,55.44444444444444,77.70031049111111,8.10803324099723,37.0,0.0,23.941828254847646,46.0,7.0,0.6869806094182825,37.0,0.0,4.445983379501385,15.0,1.0,HUMBOLDT
2009,1,HUMBOLDT,18.77777777777778,48.70027242888889,8.10803324099723,37.0,0.0,23.941828254847646,46.0,7.0,0.6869806094182825,37.0,0.0,4.445983379501385,15.0,1.0,HUMBOLDT
2009,0,IMPERIAL,78.77777777777777,99.63858956,31.77777777777778,101.0,3.0,38.69166666666667,119.0,3.0,2.8916666666666666,19.0,0.0,15.680555555555555,81.0,5.0,IMPERIAL
2009,1,IMPERIAL,91.22222222222223,156.88551653333332,31.77777777777778,101.0,3.0,38.69166666666667,119.0,3.0,2.8916666666666666,19.0,0.0,15.680555555555555,81.0,5.0,IMPERIAL
2009,0,LOS ANGELES,110.70075757575758,39.23222161498485,35.318173515981734,79.42857142857143,8.5,33.104246575342465,89.0,4.75,3.376842791911285,10.0,0.0,8.541141552511414,22.25,1.75,LOS ANGELES
2009,1,LOS ANGELES,80.87121212121212,64.77814683568181,35.318173515981734,79.42857142857143,8.5,33.104246575342465,89.0,4.75,3.376842791911285,10.0,0.0,8.541141552511414,22.25,1.75,LOS ANGELES
