Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
2013,90807,75,28.8,18+,Los Angeles
2013,90808,40,12.6,18+,Los Angeles
2013,90810,139,52.2,18+,Los Angeles
2013,90813,493,127.1,18+,Los Angeles
2013,90814,35,21.4,18+,Los Angeles
2013,90815,62,18.9,18+,Los Angeles
2013,91001,85,31.2,18+,Los Angeles
2013,91006,37,16.0,18+,Los Angeles
2013,91007,48,17.6,18+,Los Angeles
2013,91010,72,37.4,18+,Los Angeles
2013,91011,20,13.2,18+,Los Angeles
2013,91016,74,23.8,18+,Los Angeles
2013,91020,15,20.3,18+,Los Angeles
2013,91024,18,23.6,18+,Los Angeles
2013,91030,30,14.0,18+,Los Angeles
2013,91040,54,30.0,18+,Los Angeles
2013,91042,61,28.5,18+,Los Angeles
2013,91101,19,12.0,18+,Los Angeles
2013,91103,88,40.7,18+,Los Angeles
2013,91104,91,32.1,18+,Los Angeles
2013,91105,15,15.7,18+,Los Angeles
2013,91106,36,19.0,18+,Los Angeles
2013,91107,40,14.9,18+,Los Angeles
2013,91201,49,25.1,18+,Los Angeles
2013,91202,45,21.7,18+,Los Angeles
2013,91203,17,14.2,18+,Los Angeles
2013,91204,117,87.1,18+,Los Angeles
2013,91205,126,37.7,18+,Los Angeles
2013,91206,58,21.0,18+,Los Angeles
2013,91208,17,11.8,18+,Los Angeles
2013,91214,69,32.2,18+,Los Angeles
2013,91301,41,23.8,18+,Los Angeles
2013,91302,20,9.4,18+,Los Angeles
2013,91303,71,38.5,18+,Los Angeles
2013,91304,159,42.6,18+,Los Angeles
2013,91306,156,42.6,18+,Los Angeles
2013,91307,53,24.9,18+,Los Angeles
2013,91311,88,28.0,18+,Los Angeles
2013,91316,73,35.1,18+,Los Angeles
2013,91320,62,20.7,18+,Ventura
2013,91321,68,24.5,18+,Los Angeles
2013,91324,88,43.3,18+,Los Angeles
2013,91325,114,40.6,18+,Los Angeles
2013,91326,61,23.1,18+,Los Angeles
2013,91331,369,50.5,18+,Los Angeles
2013,91335,300,53.1,18+,Los Angeles
2013,91340,132,56.7,18+,Los Angeles
2013,91342,324,49.9,18+,Los Angeles
2013,91343,243,54.2,18+,Los Angeles
2013,91344,152,35.0,18+,Los Angeles
2013,91345,76,53.7,18+,Los Angeles
2013,91350,70,34.8,18+,Los Angeles
2013,91351,83,32.6,18+,Los Angeles
2013,91352,188,59.5,18+,Los Angeles
2013,91354,36,19.1,18+,Los Angeles
2013,91355,53,20.6,18+,Los Angeles
2013,91356,86,34.2,18+,Los Angeles
2013,91360,63,18.3,18+,Ventura
2013,91361,18,8.8,18+,Ventura
2013,91362,54,23.6,18+,Ventura
2013,91364,49,22.8,18+,Los Angeles
2013,91367,86,25.7,18+,Los Angeles
2013,91381,15,13.1,18+,Los Angeles
2013,91384,63,25.0,18+,Los Angeles
2013,91387,79,26.4,18+,Los Angeles
2013,91390,12,8.5,18+,Los Angeles
2013,91401,116,34.4,18+,Los Angeles
2013,91402,411,85.1,18+,Los Angeles
2013,91403,40,21.1,18+,Los Angeles
2013,91405,315,83.4,18+,Los Angeles
2013,91406,214,53.3,18+,Los Angeles
2013,91411,86,43.8,18+,Los Angeles
2013,91423,44,15.7,18+,Los Angeles
2013,91436,25,19.6,18+,Los Angeles
2013,91501,48,27.5,18+,Los Angeles
2013,91502,21,21.4,18+,Los Angeles
2013,91504,56,27.9,18+,Los Angeles
2013,91505,65,26.0,18+,Los Angeles
2013,91506,47,30.7,18+,Los Angeles
2013,91601,134,43.3,18+,Los Angeles
2013,91602,30,20.9,18+,Los Angeles
2013,91604,57,21.4,18+,Los Angeles
2013,91605,231,56.1,18+,Los Angeles
2013,91606,162,51.0,18+,Los Angeles
2013,91607,55,21.6,18+,Los Angeles
2013,91701,67,22.2,18+,San Bernardino
2013,91702,170,38.0,18+,Los Angeles
2013,91706,217,41.7,18+,Los Angeles
2013,91708,14,63.2,18+,San Bernardino
2013,91709,77,16.6,18+,San Bernardino
2013,91710,182,30.8,18+,San Bernardino
2013,91711,68,27.0,18+,Los Angeles
2013,91722,99,37.8,18+,Los Angeles
2013,91723,67,46.5,18+,Los Angeles
2013,91724,93,42.6,18+,Los Angeles
2013,91730,149,31.3,18+,San Bernardino
2013,91731,83,39.7,18+,Los Angeles
2013,91732,193,42.9,18+,Los Angeles
2013,91733,116,35.5,18+,Los Angeles
2013,91737,37,20.0,18+,San Bernardino
2013,91739,71,29.1,18+,San Bernardino
2013,91740,74,38.5,18+,Los Angeles
2013,91741,48,23.0,18+,Los Angeles
2013,91744,258,44.2,18+,Los Angeles
2013,91745,114,25.7,18+,Los Angeles
2013,91746,65,29.4,18+,Los Angeles
2013,91748,62,16.7,18+,Los Angeles
2013,91750,65,25.4,18+,Los Angeles
2013,91752,71,30.0,18+,Riverside
2013,91754,51,17.1,18+,Los Angeles
2013,91755,30,13.9,18+,Los Angeles
2013,91761,135,31.2,18+,San Bernardino
2013,91762,175,43.1,18+,San Bernardino
2013,91763,129,48.5,18+,San Bernardino
2013,91764,233,59.9,18+,San Bernardino
2013,91765,59,15.3,18+,Los Angeles
2013,91766,236,49.2,18+,Los Angeles
2013,91767,196,58.1,18+,Los Angeles
2013,91768,120,46.2,18+,Los Angeles
2013,91770,118,24.2,18+,Los Angeles
2013,91773,73,27.9,18+,Los Angeles
2013,91775,34,17.5,18+,Los Angeles
2013,91776,64,20.3,18+,Los Angeles
2013,91780,48,16.5,18+,Los Angeles
2013,91784,47,25.1,18+,San Bernardino
2013,91786,243,58.8,18+,San Bernardino
2013,91789,69,22.9,18+,Los Angeles
2013,91790,114,32.3,18+,Los Angeles
2013,91791,57,23.3,18+,Los Angeles
2013,91792,73,28.4,18+,Los Angeles
2013,91801,94,21.6,18+,Los Angeles
2013,91803,51,21.1,18+,Los Angeles
2013,91901,43,37.2,18+,San Diego
2013,91902,32,22.8,18+,San Diego
2013,91906,17,72.4,18+,San Diego
2013,91910,216,37.0,18+,San Diego
2013,91911,318,51.0,18+,San Diego
2013,91913,49,20.2,18+,San Diego
2013,91914,15,17.2,18+,San Diego
2013,91915,29,16.2,18+,San Diego
2013,91932,79,39.2,18+,San Diego
2013,91941,79,29.8,18+,San Diego
2013,91942,103,49.9,18+,San Diego
2013,91945,82,41.7,18+,San Diego
2013,91950,233,55.0,18+,San Diego
2013,91977,204,47.1,18+,San Diego
2013,92007,15,18.8,18+,San Diego
2013,92008,35,13.8,18+,San Diego
2013,92009,30,9.8,18+,San Diego
2013,92010,17,15.7,18+,San Diego
2013,92011,19,10.9,18+,San Diego
2013,92019,80,22.8,18+,San Diego
2013,92020,204,45.6,18+,San Diego
2013,92021,203,44.7,18+,San Diego
2013,92024,42,9.7,18+,San Diego
2013,92025,105,30.5,18+,San Diego
2013,92026,72,18.5,18+,San Diego
2013,92027,111,28.0,18+,San Diego
2013,92028,95,22.8,18+,San Diego
2013,92029,17,11.6,18+,San Diego
2013,92037,31,10.0,18+,San Diego
2013,92040,100,30.5,18+,San Diego
2013,92054,111,36.3,18+,San Diego
2013,92056,100,24.4,18+,San Diego
2013,92057,107,25.9,18+,San Diego
2013,92058,68,35.1,18+,San Diego
2013,92064,60,16.1,18+,San Diego
2013,92065,51,19.4,18+,San Diego
2013,92069,64,20.1,18+,San Diego
2013,92071,126,30.1,18+,San Diego
2013,92078,50,15.5,18+,San Diego
2013,92081,27,12.8,18+,San Diego
2013,92082,25,18.5,18+,San Diego
2013,92083,103,45.5,18+,San Diego
2013,92084,87,25.8,18+,San Diego
2013,92101,197,59.7,18+,San Diego
2013,92102,179,61.6,18+,San Diego
2013,92103,98,33.6,18+,San Diego
2013,92104,164,42.5,18+,San Diego
2013,92105,259,53.2,18+,San Diego
2013,92106,22,13.8,18+,San Diego
2013,92107,51,19.0,18+,San Diego
2013,92108,27,19.8,18+,San Diego
