Year,Zip_Code,Number of Visits,Age-adjusted rate,Age_Group,County
2013,90716,37.0,38.6,0,LOS ANGELES
2013,90717,54.0,31.7,0,LOS ANGELES
2013,90720,31.0,20.4,0,ORANGE
2013,90723,131.0,39.5,0,LOS ANGELES
2013,90731,278.0,58.2,0,LOS ANGELES
2013,90732,31.0,19.1,0,LOS ANGELES
2013,90740,37.0,19.9,0,ORANGE
2013,90744,211.0,58.4,0,LOS ANGELES
2013,90745,173.0,39.2,0,LOS ANGELES
2013,90746,101.0,52.3,0,LOS ANGELES
2013,90755,42.0,58.3,0,LOS ANGELES
2013,90802,207.0,58.0,0,LOS ANGELES
2013,90803,55.0,20.7,0,LOS ANGELES
2013,90804,194.0,62.7,0,LOS ANGELES
2013,90805,411.0,63.9,0,LOS ANGELES
2013,90806,255.0,82.1,0,LOS ANGELES
2013,90807,75.0,28.8,0,LOS ANGELES
2013,90808,40.0,12.6,0,LOS ANGELES
2013,90810,139.0,52.2,0,LOS ANGELES
2013,90813,493.0,127.1,0,LOS ANGELES
2013,90814,35.0,21.4,0,LOS ANGELES
2013,90815,62.0,18.9,0,LOS ANGELES
2013,91001,85.0,31.2,0,LOS ANGELES
2013,91006,37.0,16.0,0,LOS ANGELES
2013,91007,48.0,17.6,0,LOS ANGELES
2013,91010,72.0,37.4,0,LOS ANGELES
2013,91011,20.0,13.2,0,LOS ANGELES
2013,91016,74.0,23.8,0,LOS ANGELES
2013,91020,15.0,20.3,0,LOS ANGELES
2013,91024,18.0,23.6,0,LOS ANGELES
2013,91030,30.0,14.0,0,LOS ANGELES
2013,91040,54.0,30.0,0,LOS ANGELES
2013,91042,61.0,28.5,0,LOS ANGELES
2013,91101,19.0,12.0,0,LOS ANGELES
2013,91103,88.0,40.7,0,LOS ANGELES
2013,91104,91.0,32.1,0,LOS ANGELES
2013,91105,15.0,15.7,0,LOS ANGELES
2013,91106,36.0,19.0,0,LOS ANGELES
2013,91107,40.0,14.9,0,LOS ANGELES
2013,91201,49.0,25.1,0,LOS ANGELES
2013,91202,45.0,21.7,0,LOS ANGELES
2013,91203,17.0,14.2,0,LOS ANGELES
2013,91204,117.0,87.1,0,LOS ANGELES
2013,91205,126.0,37.7,0,LOS ANGELES
2013,91206,58.0,21.0,0,LOS ANGELES
2013,91208,17.0,11.8,0,LOS ANGELES
2013,91214,69.0,32.2,0,LOS ANGELES
2013,91301,41.0,23.8,0,LOS ANGELES
2013,91302,20.0,9.4,0,LOS ANGELES
2013,91303,71.0,38.5,0,LOS ANGELES
2013,91304,159.0,42.6,0,LOS ANGELES
2013,91306,156.0,42.6,0,LOS ANGELES
2013,91307,53.0,24.9,0,LOS ANGELES
2013,91311,88.0,28.0,0,LOS ANGELES
2013,91316,73.0,35.1,0,LOS ANGELES
2013,91320,62.0,20.7,0,VENTURA
2013,91321,68.0,24.5,0,LOS ANGELES
2013,91324,88.0,43.3,0,LOS ANGELES
2013,91325,114.0,40.6,0,LOS ANGELES
2013,91326,61.0,23.1,0,LOS ANGELES
2013,91331,369.0,50.5,0,LOS ANGELES
2013,91335,300.0,53.1,0,LOS ANGELES
2013,91340,132.0,56.7,0,LOS ANGELES
2013,91342,324.0,49.9,0,LOS ANGELES
2013,91343,243.0,54.2,0,LOS ANGELES
2013,91344,152.0,35.0,0,LOS ANGELES
2013,91345,76.0,53.7,0,LOS ANGELES
2013,91350,70.0,34.8,0,LOS ANGELES
2013,91351,83.0,32.6,0,LOS ANGELES
2013,91352,188.0,59.5,0,LOS ANGELES
2013,91354,36.0,19.1,0,LOS ANGELES
2013,91355,53.0,20.6,0,LOS ANGELES
